Symbol,Date,Close
ADBE,1/27/2016,84.85
ADBE,1/28/2016,84.52
ADBE,1/29/2016,89.13
ADBE,2/1/2016,89.61
ADBE,2/2/2016,87.95
ADBE,2/3/2016,87.99
ADBE,2/4/2016,86.36
ADBE,2/5/2016,79.2
ADBE,2/8/2016,74.94
ADBE,2/9/2016,73.85
ADBE,2/10/2016,75.53
ADBE,2/11/2016,74.94
ADBE,2/12/2016,76.67
ADBE,2/16/2016,78.88
ADBE,2/17/2016,81.85
ADBE,2/18/2016,80.53
ADBE,2/19/2016,80.87
ADBE,2/22/2016,83.8
ADBE,2/23/2016,83.07
ADBE,2/24/2016,83.42
ADBE,2/25/2016,86.68
ADBE,2/26/2016,86.6
ADBE,2/29/2016,85.15
ADBE,3/1/2016,88.37
ADBE,3/2/2016,88.39
ADBE,3/3/2016,87.21
ADBE,3/4/2016,86.18
ADBE,3/7/2016,85.11
ADBE,3/8/2016,84.35
ADBE,3/9/2016,85.27
ADBE,3/10/2016,84.85
ADBE,3/11/2016,86
ADBE,3/14/2016,87.01
ADBE,3/15/2016,86.83
ADBE,3/16/2016,88.17
ADBE,3/17/2016,89.96
ADBE,3/18/2016,93.42
ADBE,3/21/2016,92.5
ADBE,3/22/2016,92.56
ADBE,3/23/2016,92.16
ADBE,3/24/2016,92.52
ADBE,3/28/2016,92.4
ADBE,3/29/2016,93.22
ADBE,3/30/2016,93.78
ADBE,3/31/2016,93.8
ADBE,4/1/2016,95.16
ADBE,4/4/2016,94.5
ADBE,4/5/2016,94.17
ADBE,4/6/2016,95.4
ADBE,4/7/2016,93.78
ADBE,4/8/2016,94.07
ADBE,4/11/2016,92.95
ADBE,4/12/2016,93.42
ADBE,4/13/2016,94.53
ADBE,4/14/2016,94.44
ADBE,4/15/2016,95.16
ADBE,4/18/2016,96.55
ADBE,4/19/2016,96.52
ADBE,4/20/2016,96.33
ADBE,4/21/2016,96.37
ADBE,4/22/2016,94.79
ADBE,4/25/2016,95.8
ADBE,4/26/2016,96.15
ADBE,4/27/2016,95.64
ADBE,4/28/2016,93.64
ADBE,4/29/2016,94.22
ADBE,5/2/2016,94.9
ADBE,5/3/2016,93.66
ADBE,5/4/2016,92.94
ADBE,5/5/2016,93.5
ADBE,5/6/2016,94.3
ADBE,5/9/2016,94.61
ADBE,5/10/2016,96.52
ADBE,5/11/2016,96.1
ADBE,5/12/2016,95.96
ADBE,5/13/2016,95.97
ADBE,5/16/2016,97.23
ADBE,5/17/2016,95.93
ADBE,5/18/2016,96.7
ADBE,5/19/2016,95.88
ADBE,5/20/2016,96.88
ADBE,5/23/2016,96.62
ADBE,5/24/2016,99.63
ADBE,5/25/2016,99.61
ADBE,5/26/2016,99.37
ADBE,5/27/2016,100.14
ADBE,5/31/2016,99.47
ADBE,6/1/2016,100.04
ADBE,6/2/2016,100.17
ADBE,6/3/2016,98.7
ADBE,6/6/2016,99.12
ADBE,6/7/2016,98.52
ADBE,6/8/2016,98.68
ADBE,6/9/2016,98.07
ADBE,6/10/2016,97.09
ADBE,6/13/2016,96.96
ADBE,6/14/2016,96.98
ADBE,6/15/2016,97.02
ADBE,6/16/2016,97.19
ADBE,6/17/2016,95.58
ADBE,6/20/2016,97.99
ADBE,6/21/2016,99.72
ADBE,6/22/2016,94.01
ADBE,6/23/2016,96.21
ADBE,6/24/2016,92.2
ADBE,6/27/2016,90.85
ADBE,6/28/2016,92.46
ADBE,6/29/2016,94.39
ADBE,6/30/2016,95.79
ADBE,7/1/2016,95.32
ADBE,7/5/2016,94.73
ADBE,7/6/2016,95.18
ADBE,7/7/2016,95.14
ADBE,7/8/2016,96.79
ADBE,7/11/2016,97.14
ADBE,7/12/2016,97.54
ADBE,7/13/2016,97.34
ADBE,7/14/2016,97.7
ADBE,7/15/2016,97.83
ADBE,7/18/2016,97.79
ADBE,7/19/2016,97.79
ADBE,7/20/2016,98.4
ADBE,7/21/2016,96.34
ADBE,7/22/2016,98.06
ADBE,7/25/2016,97.32
ADBE,7/26/2016,97.91
ADBE,7/27/2016,97.93
ADBE,7/28/2016,98.44
ADBE,7/29/2016,97.86
ADBE,8/1/2016,97.72
ADBE,8/2/2016,96.05
ADBE,8/3/2016,96.67
ADBE,8/4/2016,97.09
ADBE,8/5/2016,99.04
ADBE,8/8/2016,98.49
ADBE,8/9/2016,98.87
ADBE,8/10/2016,100.62
ADBE,8/11/2016,101.67
ADBE,8/12/2016,101.04
ADBE,8/15/2016,100.93
ADBE,8/16/2016,100.6
ADBE,8/17/2016,99.7
ADBE,8/18/2016,100.67
ADBE,8/19/2016,100.32
ADBE,8/22/2016,100.24
ADBE,8/23/2016,101.14
ADBE,8/24/2016,101.14
ADBE,8/25/2016,101.69
ADBE,8/26/2016,102.06
ADBE,8/29/2016,102.3
ADBE,8/30/2016,102
ADBE,8/31/2016,102.31
ADBE,9/1/2016,102.9
ADBE,9/2/2016,103.57
ADBE,9/6/2016,103.5
ADBE,9/7/2016,103
ADBE,9/8/2016,101.88
ADBE,9/9/2016,99.38
ADBE,9/12/2016,100.32
ADBE,9/13/2016,98.77
ADBE,9/14/2016,98.79
ADBE,9/15/2016,99.62
ADBE,9/16/2016,98.93
ADBE,9/19/2016,99.68
ADBE,9/20/2016,100.62
ADBE,9/21/2016,107.78
ADBE,9/22/2016,107.92
ADBE,9/23/2016,107.47
ADBE,9/26/2016,107.26
ADBE,9/27/2016,109.7
ADBE,9/28/2016,109.49
ADBE,9/29/2016,107.8
ADBE,9/30/2016,108.54
ADBE,10/3/2016,108.45
ADBE,10/4/2016,108.39
ADBE,10/5/2016,108.8
ADBE,10/6/2016,108.56
ADBE,10/7/2016,108.64
ADBE,10/10/2016,109.24
ADBE,10/11/2016,107.37
ADBE,10/12/2016,108.05
ADBE,10/13/2016,108.01
ADBE,10/14/2016,107.84
ADBE,10/17/2016,107.49
ADBE,10/18/2016,108.42
ADBE,10/19/2016,108.39
ADBE,10/20/2016,109.03
ADBE,10/21/2016,109.03
ADBE,10/24/2016,110.81
ADBE,10/25/2016,109.03
ADBE,10/26/2016,107.97
ADBE,10/27/2016,107.07
ADBE,10/28/2016,107.6
ADBE,10/31/2016,107.51
ADBE,11/1/2016,106.87
ADBE,11/2/2016,105.89
ADBE,11/3/2016,107.17
ADBE,11/4/2016,106.2
ADBE,11/7/2016,108.66
ADBE,11/8/2016,108.39
ADBE,11/9/2016,107.86
ADBE,11/10/2016,104.08
ADBE,11/11/2016,103.68
ADBE,11/14/2016,102.42
ADBE,11/15/2016,103.66
ADBE,11/16/2016,104.08
ADBE,11/17/2016,105.81
ADBE,11/18/2016,105.02
ADBE,11/21/2016,105.65
ADBE,11/22/2016,105.21
ADBE,11/23/2016,104.21
ADBE,11/25/2016,105.02
ADBE,11/28/2016,104.5
ADBE,11/29/2016,104.95
ADBE,11/30/2016,102.81
ADBE,12/1/2016,99.51
ADBE,12/2/2016,99.73
ADBE,12/5/2016,101.95
ADBE,12/6/2016,101.55
ADBE,12/7/2016,103.36
ADBE,12/8/2016,103.5
ADBE,12/9/2016,104.31
ADBE,12/12/2016,105.16
ADBE,12/13/2016,106.15
ADBE,12/14/2016,105.81
ADBE,12/15/2016,105.1
ADBE,12/16/2016,103.55
ADBE,12/19/2016,105.29
ADBE,12/20/2016,105.77
ADBE,12/21/2016,105.51
ADBE,12/22/2016,104.72
ADBE,12/23/2016,105.02
ADBE,12/27/2016,104.98
ADBE,12/28/2016,103.77
ADBE,12/29/2016,103.68
ADBE,12/30/2016,102.95
ADBE,1/3/2017,103.48
ADBE,1/4/2017,104.14
ADBE,1/5/2017,105.91
ADBE,1/6/2017,108.3
ADBE,1/9/2017,108.57
ADBE,1/10/2017,108.26
ADBE,1/11/2017,108.99
ADBE,1/12/2017,108.59
ADBE,1/13/2017,108.53
ADBE,1/17/2017,108
ADBE,1/18/2017,108.79
ADBE,1/19/2017,109.79
ADBE,1/20/2017,110.71
ADBE,1/23/2017,110.97
ADBE,1/24/2017,113.72
ADBE,1/25/2017,114.25
ADBE,1/26/2017,112.88
ADBE,1/27/2017,113.99
ADBE,1/30/2017,113.82
ADBE,1/31/2017,113.38
ADBE,2/1/2017,113.36
ADBE,2/2/2017,113.16
ADBE,2/3/2017,115.17
ADBE,2/6/2017,114.46
ADBE,2/7/2017,114.96
ADBE,2/8/2017,116.13
ADBE,2/9/2017,116.44
ADBE,2/10/2017,116.85
ADBE,2/13/2017,117.65
ADBE,2/14/2017,117.58
ADBE,2/15/2017,118.73
ADBE,2/16/2017,118.93
ADBE,2/17/2017,119.67
ADBE,2/21/2017,119.63
ADBE,2/22/2017,119.47
ADBE,2/23/2017,118.83
ADBE,2/24/2017,119.31
ADBE,2/27/2017,118.78
ADBE,2/28/2017,118.34
ADBE,3/1/2017,120.35
ADBE,3/2/2017,119.9
ADBE,3/3/2017,120.04
ADBE,3/6/2017,120.15
ADBE,3/7/2017,119.98
ADBE,3/8/2017,119.6
ADBE,3/9/2017,119.91
ADBE,3/10/2017,121.09
ADBE,3/13/2017,121.8
ADBE,3/14/2017,121.44
ADBE,3/15/2017,122.11
ADBE,3/16/2017,122.35
ADBE,3/17/2017,127.01
ADBE,3/20/2017,126.31
ADBE,3/21/2017,125.07
ADBE,3/22/2017,126.21
ADBE,3/23/2017,126.87
ADBE,3/24/2017,127.7
ADBE,3/27/2017,128.25
ADBE,3/28/2017,128.69
ADBE,3/29/2017,129.58
ADBE,3/30/2017,129.61
ADBE,3/31/2017,130.13
ADBE,4/3/2017,129.59
ADBE,4/4/2017,130.04
ADBE,4/5/2017,129.89
ADBE,4/6/2017,130.15
ADBE,4/7/2017,130.22
ADBE,4/10/2017,130.16
ADBE,4/11/2017,129.95
ADBE,4/12/2017,129.38
ADBE,4/13/2017,129.05
ADBE,4/17/2017,129.99
ADBE,4/18/2017,129.81
ADBE,4/19/2017,130.22
ADBE,4/20/2017,131.42
ADBE,4/21/2017,131.52
ADBE,4/24/2017,132.89
ADBE,4/25/2017,133.49
ADBE,4/26/2017,132.79
